Cluster,Total_distance,Parent_cluster,Child_cluster,Age,Gam,Win,Los,Poi,FG%,3P%,FT%,Tot,Ass,Tur,Ste,Blo,Per
24,19.73185271592329,6,3,1.1974522292994045,0.4076433121018894,0.0445859872611436,0.3630573248407547,15.401273885349838,1.4828025477707385,4.47770700636948,4.611464968152887,4.828025477706959,5.2547770700636605,3.0127388535032473,0.012738853503181602,1.8089171974522031,6.605095541401191
48,20.11927493758985,9,3,1.1021505376344365,0.0,0.12903225806455865,0.12903225806452667,18.338709677419075,1.69301075268816,0.6086021505376493,1.5290322580644045,5.0107526881723246,4.177419354838854,1.5,0.7150537634408067,1.3279569892473164,3.817204301075364
41,20.61112603240599,8,5,1.066666666666631,0.25925925925927373,0.014814814814824828,0.24444444444443647,16.325925925925617,1.5177777777777592,5.282222222222254,3.9422222222222985,4.488888888889022,5.548148148148243,2.80000000000004,0.02222222222219017,2.785185185185142,6.688888888888876
1,20.642238175429114,1,0,0.7554438860970691,0.14740368509224133,0.08542713567839932,0.06197654941378783,18.62144053601162,1.4976549413733409,3.5373534338359,2.4261306532659006,2.6951423785582733,5.448911222781071,0.8308207705193951,0.18425460636530566,0.2378559463986658,4.5125628140703995
29,21.518128859154185,7,1,0.968992248062019,0.18604651162787889,0.046511627906967945,0.2325581395348646,17.077519379844574,1.349612403100764,5.38062015503875,4.427906976744239,4.782945736433788,5.6821705426356,2.8992248062015022,0.0,3.1085271317829246,6.837209302325469
4,21.848479037310153,2,1,0.8375733855187413,0.09197651663388484,0.015655577299444445,0.07632093933457362,19.69667318982522,1.4739726027396287,3.4185909980429905,2.663992172211209,2.7045009784729928,6.176125244618596,0.8277886497066369,0.19373776908015472,0.39921722113499136,4.624266144813674
7,32.847861058956056,3,1,0.49735449735452875,0.30158730158735025,0.11111111111111072,0.4126984126984041,29.518518518518533,1.3719576719576878,4.535449735449749,4.141798941799081,0.27513227513198046,10.53439153439139,0.21693121693102313,0.703703703703809,2.793650793650796,6.93650793650783
23,37.75655977198619,6,2,0.4566929133857549,0.6850393700787727,0.13385826771652098,0.5511811023621966,34.27559055118053,1.0881889763779924,5.3196850393700394,3.830708661417404,0.850393700787663,12.700787401574544,1.8582677165353019,1.4330708661417475,0.8976377952756067,6.102362204724393
17,39.858509269125825,5,2,0.6818181818181408,0.7727272727272627,0.18181818181817633,0.5909090909090917,35.7636363636359,0.7636363636363939,5.123636363636361,5.159090909090921,3.8818181818183746,13.181818181818045,2.1727272727273146,1.6727272727272506,3.4363636363636463,6.827272727272707
11,40.27177832434813,4,1,0.6509433962264524,0.8962264150943575,0.2830188679245147,0.613207547169818,35.87735849056537,0.7952830188679343,5.5047169811320416,5.355660377358447,4.433962264150949,13.377358490566095,2.67924528301873,1.811320754717002,3.5849056603773732,7.169811320754803
47,42.59814947918566,9,2,0.16417910447762196,1.014925373134318,0.47761194029851417,0.5373134328358304,38.880597014925854,1.5119402985074615,2.880597014925364,3.150746268656647,11.373134328358063,9.68656716417901,4.417910447761187,2.611940298507495,2.597014925373143,4.9552238805969395
34,43.9608909879237,7,6,0.5813953488372547,0.9418604651162497,0.24418604651165765,0.6976744186046524,38.38372093023224,1.0441860465116406,6.060465116279069,4.815116279069684,4.093023255813648,17.383720930232656,4.616279069767479,2.2558139534883566,2.093023255813943,6.837209302325498
37,43.9608909879237,8,1,0.5813953488372547,0.9418604651162497,0.24418604651165765,0.6976744186046524,38.38372093023224,1.0441860465116406,6.060465116279069,4.815116279069684,4.093023255813648,17.383720930232656,4.616279069767479,2.2558139534883566,2.093023255813943,6.837209302325498
53,52.615900565005354,9,8,0.7317073170731803,0.19512195121952658,0.43902439024390283,0.243902439024394,28.463414634146716,0.7048780487804933,10.68048780487803,10.165853658536548,29.951219512195138,21.90243902439029,0.09756097560973132,0.09756097560977395,16.731707317073187,9.097560975609717
