Age,GamesPlayed,Wins,Losses,PointsScored,FG%,3P%,FT%,TotalRebounds,Assists,Turnovers,Steals,Blocks,PersonalFouls
27,6,2,4,63,43.9,0.0,41.7,43,16,14,5,1,15
26,6,2,4,62,39.0,33.3,71.4,23,10,8,4,2,12
31,5,1,4,59,43.9,25.0,83.3,24,37,14,4,0,17
28,7,3,4,58,34.4,30.0,66.7,22,15,5,7,7,12
21,17,9,8,57,67.7,0.0,51.7,42,5,3,3,9,19
26,4,4,0,57,41.5,42.9,73.7,28,10,6,1,2,12
24,5,1,4,56,54.8,63.6,78.9,36,6,6,10,8,15
37,7,3,4,56,34.9,36.4,78.3,24,32,14,4,6,19
30,12,6,6,54,34.4,30.8,57.1,18,11,9,3,1,16
27,6,2,4,54,33.3,31.6,100.0,20,18,9,7,1,14
24,6,2,4,53,58.5,0.0,35.7,48,4,11,5,10,14
38,17,9,8,53,33.3,29.3,75.0,19,39,12,15,0,40
28,6,2,4,52,32.8,21.7,70.0,23,3,5,5,3,10
28,4,0,4,51,31.4,19.0,83.3,7,5,3,6,0,9
32,5,1,4,51,65.5,0.0,50.0,54,1,5,3,6,16
26,11,4,7,50,38.2,15.4,100.0,46,5,7,5,0,16
24,4,0,4,49,38.0,26.3,85.7,15,3,3,3,0,13
23,4,0,4,49,55.3,33.3,57.1,28,1,5,0,3,12
29,4,0,4,49,31.6,21.7,72.7,22,19,12,5,0,18
28,4,0,4,46,69.0,0.0,50.0,28,4,7,1,3,16
23,4,0,4,45,50.0,0.0,87.5,37,2,4,2,1,7
24,4,0,4,43,51.7,30.0,76.9,20,8,5,4,3,14
27,4,0,4,43,44.4,41.7,100.0,17,9,4,0,2,12
23,11,5,6,43,34.1,33.3,100.0,17,6,5,0,3,13
26,4,0,4,42,36.4,50.0,88.9,29,19,9,3,0,11
23,10,5,5,42,60.6,25.0,0.0,18,1,4,1,3,13
29,14,7,7,41,44.7,0.0,77.8,27,3,9,5,5,33
26,4,0,4,41,55.6,46.7,100.0,14,5,3,3,0,5
32,13,10,3,40,40.0,0.0,53.3,34,8,2,3,2,17
29,6,2,4,40,46.7,57.1,57.1,11,8,5,12,2,12
25,4,0,4,40,32.6,18.2,58.8,20,20,6,5,1,10
31,6,2,4,40,40.0,0.0,61.5,40,9,5,10,3,15
32,5,1,4,39,42.9,0.0,69.2,16,3,7,1,3,16
26,6,2,4,39,34.3,28.6,76.5,15,18,4,2,2,12
21,4,0,4,39,48.3,23.1,53.3,11,5,4,1,1,12
23,5,1,4,39,66.7,76.9,50.0,33,5,3,2,2,17
25,10,4,6,39,38.5,28.6,50.0,11,10,2,8,0,7
26,11,6,5,37,54.8,0.0,60.0,39,4,1,4,6,14
27,10,7,3,37,33.3,0.0,60.0,21,4,4,4,3,14
26,4,0,4,35,41.7,21.4,66.7,7,7,8,0,1,15
25,4,0,4,34,51.7,0.0,80.0,18,2,4,2,1,5
25,6,4,2,33,48.4,0.0,50.0,19,2,4,2,1,10
26,10,5,5,33,33.3,46.2,37.5,16,16,10,9,1,15
30,5,1,4,30,44.0,42.1,0.0,13,3,0,1,1,10
28,4,0,4,30,37.9,35.7,100.0,7,12,4,2,0,15
27,4,0,4,29,35.7,30.0,85.7,20,12,1,7,0,13
24,4,0,4,28,37.9,33.3,0.0,6,4,2,3,4,10
34,10,4,6,26,47.4,60.0,66.7,5,11,1,3,1,14
27,5,1,4,26,60.0,0.0,100.0,22,3,5,1,5,15
32,4,1,3,24,34.8,0.0,88.9,8,4,4,2,0,10
30,7,3,4,24,37.5,0.0,31.6,31,9,7,4,1,17
27,8,4,4,23,52.9,50.0,100.0,13,5,1,2,3,12
28,4,0,4,21,81.8,0.0,100.0,18,2,0,3,4,7
30,4,0,4,20,35.0,0.0,60.0,8,10,3,1,3,4
25,3,0,3,19,36.8,25.0,100.0,3,13,5,2,1,3
29,2,0,2,19,45.0,50.0,0.0,2,6,2,0,0,6
32,3,2,1,19,50.0,50.0,80.0,3,3,5,2,1,6
24,4,0,4,18,53.8,50.0,50.0,5,2,4,2,2,12
35,4,1,3,15,35.7,37.5,100.0,2,1,3,2,0,9
30,7,3,4,14,42.9,28.6,0.0,1,7,3,2,1,8
25,6,2,4,12,66.7,0.0,36.4,8,2,3,4,2,10
22,9,4,5,12,23.5,14.3,100.0,4,4,4,0,1,7
23,4,2,2,11,83.3,0.0,50.0,1,0,1,0,1,2
28,4,0,4,11,33.3,0.0,50.0,14,1,3,2,1,9
31,3,1,2,11,26.7,0.0,100.0,7,4,0,0,0,1
23,2,0,2,10,80.0,100.0,0.0,3,1,1,2,1,1
26,1,0,1,10,33.3,0.0,0.0,6,2,1,0,0,1
36,11,7,4,10,23.5,15.4,0.0,7,4,2,4,1,10
24,4,1,3,10,66.7,50.0,0.0,3,0,0,0,0,2
30,8,7,1,10,25.0,0.0,60.0,9,0,4,0,3,6
28,4,2,2,9,30.0,0.0,100.0,10,1,3,0,0,9
33,3,0,3,9,50.0,0.0,100.0,14,3,3,0,0,5
35,9,5,4,9,60.0,60.0,0.0,10,0,1,1,1,6
27,3,0,3,8,100.0,0.0,0.0,1,1,0,1,0,2
23,6,4,2,8,33.3,33.3,75.0,1,1,1,0,0,1
28,4,0,4,8,20.0,0.0,57.1,29,6,5,5,0,10
29,4,1,3,7,16.7,0.0,62.5,3,1,3,2,0,4
20,4,1,3,7,66.7,100.0,50.0,1,0,0,1,0,0
35,5,1,4,7,18.2,12.5,100.0,1,8,2,0,1,4
27,2,0,2,6,20.0,66.7,0.0,2,0,0,1,0,1
22,1,0,1,6,37.5,0.0,0.0,3,0,0,0,0,1
23,2,0,2,6,40.0,0.0,100.0,2,1,2,0,0,0
35,7,3,4,6,20.0,22.2,0.0,6,1,1,0,1,8
29,3,1,2,5,16.7,25.0,0.0,7,2,3,0,0,6
23,3,1,2,5,33.3,50.0,100.0,2,1,1,0,0,0
26,3,1,2,5,33.3,100.0,0.0,3,0,0,2,0,1
29,1,0,1,5,100.0,0.0,50.0,0,0,0,0,0,0
20,1,0,1,5,22.2,20.0,0.0,4,3,0,0,0,1
29,4,0,4,5,20.0,0.0,75.0,6,3,2,2,1,8
34,11,6,5,4,100.0,0.0,0.0,1,0,0,2,0,7
27,3,0,3,4,33.3,0.0,0.0,1,1,0,0,0,4
28,2,0,2,4,33.3,0.0,0.0,2,1,0,0,0,0
22,5,5,0,4,66.7,0.0,0.0,4,0,1,0,1,0
26,4,1,3,4,50.0,0.0,0.0,5,0,0,0,0,1
37,3,1,2,4,28.6,0.0,0.0,5,0,0,0,1,0
29,3,3,0,3,16.7,50.0,0.0,3,0,0,0,0,2
26,5,5,0,3,50.0,100.0,0.0,1,1,2,0,0,1
24,8,4,4,3,25.0,0.0,50.0,2,0,5,0,0,4
26,1,0,1,3,12.5,0.0,50.0,6,1,1,0,1,1
28,4,2,2,2,33.3,0.0,0.0,3,0,0,0,0,3
25,5,1,4,2,0.0,0.0,100.0,3,0,0,1,1,1
26,1,0,1,2,50.0,0.0,0.0,1,1,0,0,0,1
30,1,1,0,2,100.0,0.0,0.0,3,0,0,0,0,1
28,1,1,0,2,50.0,0.0,0.0,0,0,0,0,0,0
37,6,5,1,2,16.7,0.0,0.0,6,1,0,2,0,1
36,3,2,1,1,0.0,0.0,50.0,1,0,0,0,0,3
31,6,3,3,1,0.0,0.0,50.0,4,2,1,0,0,2
28,1,0,1,0,0.0,0.0,0.0,1,1,0,0,0,0
30,1,0,1,0,0.0,0.0,0.0,0,0,0,0,0,0
35,1,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0
24,1,0,1,0,0.0,0.0,0.0,0,0,0,0,0,0
23,2,0,2,0,0.0,0.0,0.0,1,1,0,0,0,1
