Age,GamesPlayed,Wins,Losses,PointsScored,FG%,3P%,FT%,TotalRebounds,Assists,Turnovers,Steals,Blocks,PersonalFouls
21,6,2,4,30,52.4,0.0,66.7,26,0,8,2,5,27
23,6,1,5,30,34.5,16.7,69.2,9,6,6,5,2,8
27,4,1,3,29,33.3,0.0,100.0,15,1,3,1,1,13
26,14,10,4,29,42.3,100.0,100.0,17,4,4,0,1,8
34,4,0,4,26,36.7,50.0,0.0,25,3,3,2,1,12
23,4,0,4,25,47.6,20.0,60.0,3,1,3,0,2,9
33,5,1,4,24,50.0,0.0,100.0,9,4,2,2,1,12
23,4,1,3,23,33.3,37.5,85.7,8,2,2,2,1,6
29,6,2,4,23,55.6,0.0,50.0,44,8,3,4,12,21
25,11,9,2,23,50.0,25.0,33.3,15,4,3,4,0,9
24,9,4,5,22,57.1,0.0,60.0,24,1,4,1,4,22
38,5,1,4,21,53.8,55.6,100.0,15,3,3,3,0,10
26,13,7,6,20,47.6,0.0,0.0,39,10,4,13,2,27
36,6,2,4,20,81.8,0.0,50.0,23,0,4,1,4,24
27,5,1,4,19,34.8,16.7,50.0,7,14,7,1,0,3
22,5,1,4,17,30.0,25.0,75.0,7,1,3,2,1,8
31,5,1,4,17,35.0,12.5,40.0,23,4,2,4,1,14
34,14,10,4,16,61.5,0.0,0.0,38,4,3,4,4,13
36,6,2,4,16,37.5,36.4,0.0,7,0,2,1,1,9
33,5,1,4,16,46.2,0.0,80.0,20,0,2,3,2,9
24,4,0,4,15,46.2,0.0,30.0,8,1,6,4,1,15
26,4,0,4,15,50.0,0.0,55.6,13,2,1,1,1,5
29,5,1,4,15,21.7,23.1,100.0,16,0,2,3,2,10
33,10,5,5,15,50.0,0.0,83.3,15,4,1,2,5,11
29,4,0,4,15,25.9,20.0,0.0,14,5,5,1,0,4
26,4,1,3,15,50.0,0.0,50.0,21,2,8,2,1,17
34,5,1,4,14,15.4,25.0,81.8,3,9,5,2,1,1
24,9,4,5,14,50.0,0.0,100.0,16,2,1,1,0,9
24,3,1,2,14,38.5,50.0,100.0,2,2,0,1,0,4
37,4,2,2,13,50.0,37.5,0.0,4,3,4,2,0,3
36,5,1,4,13,45.5,0.0,75.0,23,2,4,1,2,13
26,4,0,4,12,35.7,0.0,66.7,3,1,0,0,0,5
34,2,1,1,12,66.7,0.0,100.0,4,0,2,2,0,2
29,3,2,1,12,100.0,100.0,0.0,9,1,2,1,1,5
27,9,4,5,12,50.0,40.0,0.0,6,0,2,0,1,8
20,6,2,4,12,55.6,50.0,0.0,3,1,3,1,2,7
23,6,1,5,11,28.6,20.0,50.0,2,0,2,1,0,4
27,6,2,4,11,27.3,28.6,75.0,4,0,0,3,0,6
28,6,2,4,10,26.7,22.2,0.0,12,3,4,2,1,4
26,6,2,4,10,80.0,0.0,100.0,19,2,1,0,7,9
25,2,1,1,10,42.9,0.0,66.7,9,0,1,0,0,3
23,10,9,1,9,22.2,0.0,62.5,6,1,1,0,1,4
27,3,0,3,9,37.5,0.0,75.0,15,0,3,0,3,12
21,3,1,2,9,42.9,0.0,75.0,6,0,0,0,0,5
27,10,4,6,9,50.0,0.0,100.0,9,3,1,2,0,4
24,6,2,4,8,33.3,33.3,100.0,2,6,1,0,0,3
26,1,0,1,8,75.0,100.0,0.0,1,0,1,2,0,0
25,5,2,3,8,42.9,0.0,100.0,1,5,2,2,0,1
30,3,0,3,8,37.5,0.0,100.0,5,0,3,0,0,2
30,3,1,2,8,20.0,0.0,75.0,10,1,0,1,0,9
22,4,0,4,8,42.9,0.0,50.0,6,2,1,0,1,6
30,2,0,2,8,16.7,33.3,75.0,10,4,2,0,1,6
26,2,0,2,8,30.0,0.0,100.0,3,5,0,1,0,4
30,4,0,4,8,37.5,50.0,0.0,1,2,0,1,0,3
34,2,1,1,7,40.0,0.0,50.0,0,4,0,1,0,0
26,5,1,4,7,33.3,50.0,0.0,1,0,1,0,0,0
29,5,2,3,7,22.2,0.0,75.0,10,0,2,3,0,4
32,2,1,1,7,30.0,25.0,0.0,3,0,1,0,0,4
20,2,0,2,6,33.3,0.0,66.7,1,0,1,0,1,0
38,6,2,4,6,33.3,33.3,75.0,5,5,0,2,0,3
31,2,0,2,6,20.0,33.3,75.0,3,1,0,1,0,3
25,11,4,7,5,20.0,0.0,25.0,5,2,1,2,0,2
32,1,1,0,5,100.0,100.0,0.0,0,0,0,0,0,0
29,3,1,2,4,50.0,0.0,100.0,4,1,0,0,0,1
23,4,1,3,4,66.7,0.0,0.0,6,0,0,1,1,1
24,8,6,2,4,33.3,0.0,0.0,4,1,0,4,0,3
23,5,2,3,4,33.3,0.0,0.0,3,7,2,0,1,5
25,9,7,2,4,33.3,0.0,100.0,2,0,1,1,0,2
22,3,0,3,2,100.0,0.0,0.0,3,0,0,0,1,3
28,7,5,2,2,16.7,0.0,0.0,3,0,2,0,2,0
23,5,5,0,2,20.0,0.0,0.0,5,1,1,0,0,5
21,4,2,2,2,0.0,0.0,100.0,0,0,2,2,0,2
31,6,3,3,2,33.3,0.0,0.0,11,1,3,0,0,9
31,9,8,1,2,50.0,0.0,0.0,3,5,1,2,1,5
28,4,1,3,2,50.0,0.0,0.0,2,0,1,0,0,1
26,5,2,3,2,33.3,0.0,0.0,5,0,0,1,0,2
32,1,0,1,1,0.0,0.0,50.0,5,0,1,0,0,1
24,2,1,1,0,0.0,0.0,0.0,1,0,1,0,0,0
34,2,1,1,0,0.0,0.0,0.0,1,0,1,0,0,1
33,5,1,4,0,0.0,0.0,0.0,1,3,3,1,0,4
43,2,1,1,0,0.0,0.0,0.0,9,0,0,1,2,5
23,1,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0
23,4,2,2,0,0.0,0.0,0.0,0,2,2,0,1,0
25,1,0,1,0,0.0,0.0,0.0,0,0,1,0,0,0
23,3,2,1,0,0.0,0.0,0.0,2,0,1,1,0,2
33,1,0,1,0,0.0,0.0,0.0,0,0,0,0,0,1
31,1,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0
34,19,15,4,590,45.6,19.4,83.1,150,91,49,30,17,46
33,20,13,7,519,43.5,50.0,72.0,228,57,54,27,15,59
34,16,9,7,370,59.0,0.0,73.1,174,54,46,33,41,61
